"","business_id","business_name","business_address","inspection_date","inspection_score","violation_description","risk_category","Current Supervisor Districts"
"38",3920,"BOSTON MARKET","2300 16th St",2019-01-02,94,"Unclean or degraded floors walls or ceilings","Low Risk",9
"39",73,"Santino's Vino","2101 Fillmore St",2019-01-02,78,"Improper storage of equipment utensils or linens","Low Risk",6
"40",34181,"Coffee Bar 1 LLC","1890 Bryant St #C",2019-01-02,86,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",2
"41",35805,"Hard Knox Cafe","2448 Clement",2019-01-02,90,"Unclean or degraded floors walls or ceilings","Low Risk",4
"42",876,"PATPONG THAI CUISINE, INC.","2415 CLEMENT St",2019-01-02,74,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",4
"43",73,"Santino's Vino","2101 Fillmore St",2019-01-02,78,"Inadequate and inaccessible handwashing facilities","Moderate Risk",6
"44",33084,"Miette Cakes, LLC","449 Octavia St",2019-01-02,90,"Low risk vermin infestation","Low Risk",11
"45",876,"PATPONG THAI CUISINE, INC.","2415 CLEMENT St",2019-01-02,74,"Unclean or degraded floors walls or ceilings","Low Risk",4
"46",64154,"Yummy Dim Sum & Fast Food, LLC","930 Stockton St",2019-01-02,88,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",3
"47",15738,"Lao Table","149 2nd St",2019-01-02,75,"Insufficient hot water or running water","Moderate Risk",10
"48",2233,"The AA Bakery & Cafe","1068 Stockton St",2019-01-02,90,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",3
"49",64154,"Yummy Dim Sum & Fast Food, LLC","930 Stockton St",2019-01-02,88,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",3
"50",15738,"Lao Table","149 2nd St",2019-01-02,75,"High risk vermin infestation","High Risk",10
"51",7663,"GGP MARKET","2948 24th St",2019-01-02,90,"Improper food storage","Low Risk",2
"52",82196,"Toast Eatery","1748 Church St",2019-01-02,98,"Food safety certificate or food handler card not available","Low Risk",NA
"53",80120,"Boba Guys, Inc.","429 Stockton St",2019-01-02,90,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"54",83423,"Carbon Grill","852 Clement St",2019-01-02,82,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"55",72025,"J. Georgie's Donuts and Restaurant","2462 San Bruno Ave",2019-01-02,85,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"56",75881,"Tender Greens","30 Fremont St",2019-01-02,92,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"57",86168,"I Cafe Chinatown","133 Waverly Pl",2019-01-02,72,"Food safety certificate or food handler card not available","Low Risk",NA
"58",80081,"Good MongKok Bakery","1039 Stockton St",2019-01-02,75,"Improper food storage","Low Risk",NA
"59",80081,"Good MongKok Bakery","1039 Stockton St",2019-01-02,75,"Unclean hands or improper use of gloves","High Risk",NA
"60",72025,"J. Georgie's Donuts and Restaurant","2462 San Bruno Ave",2019-01-02,85,"Moderate risk vermin infestation","Moderate Risk",NA
"61",75881,"Tender Greens","30 Fremont St",2019-01-02,92,"Improper thawing methods","Moderate Risk",NA
"62",80081,"Good MongKok Bakery","1039 Stockton St",2019-01-02,75,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"63",83423,"Carbon Grill","852 Clement St",2019-01-02,82,"Unclean or unsanitary food contact surfaces","High Risk",NA
"64",86168,"I Cafe Chinatown","133 Waverly Pl",2019-01-02,72,"Permit license or inspection report not posted","Low Risk",NA
"65",80081,"Good MongKok Bakery","1039 Stockton St",2019-01-02,75,"Foods not protected from contamination","Moderate Risk",NA
"66",72025,"J. Georgie's Donuts and Restaurant","2462 San Bruno Ave",2019-01-02,85,"Unclean hands or improper use of gloves","High Risk",NA
"67",90194,"Jackrabbit","Off the Grid",2019-01-02,93,"High risk food holding temperature","High Risk",NA
"68",83423,"Carbon Grill","852 Clement St",2019-01-02,82,"High risk vermin infestation","High Risk",NA
"69",86168,"I Cafe Chinatown","133 Waverly Pl",2019-01-02,72,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"70",80081,"Good MongKok Bakery","1039 Stockton St",2019-01-02,75,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",NA
"71",86168,"I Cafe Chinatown","133 Waverly Pl",2019-01-02,72,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"72",86168,"I Cafe Chinatown","133 Waverly Pl",2019-01-02,72,"High risk vermin infestation","High Risk",NA
"73",80120,"Boba Guys, Inc.","429 Stockton St",2019-01-02,90,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"74",80120,"Boba Guys, Inc.","429 Stockton St",2019-01-02,90,"Improper food storage","Low Risk",NA
"75",86168,"I Cafe Chinatown","133 Waverly Pl",2019-01-02,72,"Employee eating or smoking","Moderate Risk",NA
"76",86168,"I Cafe Chinatown","133 Waverly Pl",2019-01-02,72,"Unclean hands or improper use of gloves","High Risk",NA
"77",83423,"Carbon Grill","852 Clement St",2019-01-02,82,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"78",75881,"Tender Greens","30 Fremont St",2019-01-02,92,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"79",80081,"Good MongKok Bakery","1039 Stockton St",2019-01-02,75,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"80",72025,"J. Georgie's Donuts and Restaurant","2462 San Bruno Ave",2019-01-02,85,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"81",97322,"IZUMI KAITEN SUSHI","1737 Post St Ste 355",2019-01-02,90,"Moderate risk food holding temperature","Moderate Risk",NA
"82",97322,"IZUMI KAITEN SUSHI","1737 Post St Ste 355",2019-01-02,90,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"83",97322,"IZUMI KAITEN SUSHI","1737 Post St Ste 355",2019-01-02,90,"Moderate risk vermin infestation","Moderate Risk",NA
"84",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave",2019-01-03,74,"Unclean or degraded floors walls or ceilings","Low Risk",8
"85",7997,"COSTCO WHOLESALE","450 10th St",2019-01-03,92,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",10
"86",37651,"Jack In The Box #545","400 Geary St",2019-01-03,96,"Improper food storage","Low Risk",3
"87",20367,"Manila Oriental Market","4175 MISSION St",2019-01-03,77,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",1
"88",20367,"Manila Oriental Market","4175 MISSION St",2019-01-03,77,"Improper food storage","Low Risk",1
"89",941,"TWO JACKS SEAFOOD #2","984 GILMAN Ave",2019-01-03,90,"Unapproved or unmaintained equipment or utensils","Low Risk",9
"90",61467,"Dagwood & Scoops","2736 24 St",2019-01-03,86,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",2
"91",409,"EL FARO","82 01st St",2019-01-03,66,"Unapproved or unmaintained equipment or utensils","Low Risk",10
"92",38423,"Dynamo","2760 24th St",2019-01-03,96,"Moderate risk vermin infestation","Moderate Risk",2
"93",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave",2019-01-03,74,"Unapproved or unmaintained equipment or utensils","Low Risk",8
"94",13753,"Taboun","203 Parnassus Ave",2019-01-03,94,"Food safety certificate or food handler card not available","Low Risk",11
"95",61643,"Lee's Deli","615 Market St",2019-01-03,87,"Unclean or degraded floors walls or ceilings","Low Risk",10
"96",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave",2019-01-03,74,"Unclean nonfood contact surfaces","Low Risk",8
"97",7997,"COSTCO WHOLESALE","450 10th St",2019-01-03,92,"Foods not protected from contamination","Moderate Risk",10
"98",941,"TWO JACKS SEAFOOD #2","984 GILMAN Ave",2019-01-03,90,"Food safety certificate or food handler card not available","Low Risk",9
"99",61467,"Dagwood & Scoops","2736 24 St",2019-01-03,86,"Unclean or degraded floors walls or ceilings","Low Risk",2
"100",20367,"Manila Oriental Market","4175 MISSION St",2019-01-03,77,"Inadequate and inaccessible handwashing facilities","Moderate Risk",1
"101",37651,"Jack In The Box #545","400 Geary St",2019-01-03,96,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",3
"102",409,"EL FARO","82 01st St",2019-01-03,66,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",10
"103",409,"EL FARO","82 01st St",2019-01-03,66,"Inadequate ventilation or lighting","Low Risk",10
"104",409,"EL FARO","82 01st St",2019-01-03,66,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",10
"105",61467,"Dagwood & Scoops","2736 24 St",2019-01-03,86,"Other moderate risk violation","Moderate Risk",2
"106",61643,"Lee's Deli","615 Market St",2019-01-03,87,"High risk food holding temperature","High Risk",10
"107",20367,"Manila Oriental Market","4175 MISSION St",2019-01-03,77,"Unclean or unsanitary food contact surfaces","High Risk",1
"108",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave",2019-01-03,74,"Improper thawing methods","Moderate Risk",8
"109",409,"EL FARO","82 01st St",2019-01-03,66,"High risk vermin infestation","High Risk",10
"110",409,"EL FARO","82 01st St",2019-01-03,66,"Improper thawing methods","Moderate Risk",10
"111",941,"TWO JACKS SEAFOOD #2","984 GILMAN Ave",2019-01-03,90,"Moderate risk food holding temperature","Moderate Risk",9
"112",409,"EL FARO","82 01st St",2019-01-03,66,"Improper cooling methods","High Risk",10
"113",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave",2019-01-03,74,"Unclean or unsanitary food contact surfaces","High Risk",8
"114",20367,"Manila Oriental Market","4175 MISSION St",2019-01-03,77,"Unapproved or unmaintained equipment or utensils","Low Risk",1
"115",61643,"Lee's Deli","615 Market St",2019-01-03,87,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",10
"116",61467,"Dagwood & Scoops","2736 24 St",2019-01-03,86,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"117",941,"TWO JACKS SEAFOOD #2","984 GILMAN Ave",2019-01-03,90,"Improper food storage","Low Risk",9
"118",13753,"Taboun","203 Parnassus Ave",2019-01-03,94,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",11
"119",20367,"Manila Oriental Market","4175 MISSION St",2019-01-03,77,"Moderate risk food holding temperature","Moderate Risk",1
"120",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave",2019-01-03,74,"Improper food storage","Low Risk",8
"121",2808,"NEW EMMY'S RESTAURANT","1923 OCEAN Ave",2019-01-03,74,"High risk food holding temperature","High Risk",8
"122",409,"EL FARO","82 01st St",2019-01-03,66,"Foods not protected from contamination","Moderate Risk",10
"123",93072,"Subway #68745","170 O'Farrell St #428",2019-01-03,88,"Food safety certificate or food handler card not available","Low Risk",NA
"124",93072,"Subway #68745","170 O'Farrell St #428",2019-01-03,88,"Inadequate sewage or wastewater disposal","Moderate Risk",NA
"125",90486,"Enough Tea & Coffee","49 Kearny St",2019-01-03,94,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"126",90486,"Enough Tea & Coffee","49 Kearny St",2019-01-03,94,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"127",93072,"Subway #68745","170 O'Farrell St #428",2019-01-03,88,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"128",88878,"Jamba Juice","170 O'Farrell St",2019-01-03,96,"Permit license or inspection report not posted","Low Risk",NA
"129",93072,"Subway #68745","170 O'Farrell St #428",2019-01-03,88,"Permit license or inspection report not posted","Low Risk",NA
"130",88878,"Jamba Juice","170 O'Farrell St",2019-01-03,96,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"131",93072,"Subway #68745","170 O'Farrell St #428",2019-01-03,88,"Improper or defective plumbing","Low Risk",NA
"132",97806,"LITTLE SUSHI BAR","200 23rd Ave",2019-01-03,91,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"133",4843,"SUNNY COUNTRY FOODS","1101 STANYAN St",2019-01-03,100,NA,NA,11
"134",97806,"LITTLE SUSHI BAR","200 23rd Ave",2019-01-03,91,"Unclean or unsanitary food contact surfaces","High Risk",NA
"135",4841,"STARBUCKS COFFEE #9215","350 PARNASSUS Ave",2019-01-03,100,NA,NA,11
"136",36208,"Silver Cafe","4300 MISSION St",2019-01-04,92,"Inadequate ventilation or lighting","Low Risk",1
"137",2017,"THE GROVE FILLMORE","2016 FILLMORE St",2019-01-04,84,"Inadequate and inaccessible handwashing facilities","Moderate Risk",6
"138",28843,"Salt House","2 Shaw Alley",2019-01-04,88,"Moderate risk food holding temperature","Moderate Risk",10
"139",28843,"Salt House","2 Shaw Alley",2019-01-04,88,"Improper storage use or identification of toxic substances","Low Risk",10
"140",2017,"THE GROVE FILLMORE","2016 FILLMORE St",2019-01-04,84,"Unclean or degraded floors walls or ceilings","Low Risk",6
"141",28843,"Salt House","2 Shaw Alley",2019-01-04,88,"Noncompliance with shell fish tags or display","Moderate Risk",10
"142",2017,"THE GROVE FILLMORE","2016 FILLMORE St",2019-01-04,84,"Moderate risk vermin infestation","Moderate Risk",6
"143",28843,"Salt House","2 Shaw Alley",2019-01-04,88,"Unclean or degraded floors walls or ceilings","Low Risk",10
"144",2017,"THE GROVE FILLMORE","2016 FILLMORE St",2019-01-04,84,"Improper food storage","Low Risk",6
"145",2017,"THE GROVE FILLMORE","2016 FILLMORE St",2019-01-04,84,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",6
"146",7407,"TRADER JOE'S","555 09th St",2019-01-04,96,"Improper food storage","Low Risk",10
"147",36208,"Silver Cafe","4300 MISSION St",2019-01-04,92,"Unapproved or unmaintained equipment or utensils","Low Risk",1
"148",2017,"THE GROVE FILLMORE","2016 FILLMORE St",2019-01-04,84,"Inadequate dressing rooms or improper storage of personal items","Low Risk",6
"149",36208,"Silver Cafe","4300 MISSION St",2019-01-04,92,"Employee eating or smoking","Moderate Risk",1
"150",7407,"TRADER JOE'S","555 09th St",2019-01-04,96,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",10
"151",90139,"The Spicy Shrimp","150 Waverly Pl",2019-01-04,86,"Moderate risk food holding temperature","Moderate Risk",NA
"152",86013,"Safehouse","160 14th St",2019-01-04,90,"Permit license or inspection report not posted","Low Risk",NA
"153",91279,"Green Tiffin","160 14th St",2019-01-04,94,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"154",73840,"L'acajou Bakery and Cafe","498 09th St Ste. C",2019-01-04,79,"Moderate risk vermin infestation","Moderate Risk",NA
"155",73840,"L'acajou Bakery and Cafe","498 09th St Ste. C",2019-01-04,79,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"156",86013,"Safehouse","160 14th St",2019-01-04,90,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"157",73840,"L'acajou Bakery and Cafe","498 09th St Ste. C",2019-01-04,79,"Food safety certificate or food handler card not available","Low Risk",NA
"158",90139,"The Spicy Shrimp","150 Waverly Pl",2019-01-04,86,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",NA
"159",73840,"L'acajou Bakery and Cafe","498 09th St Ste. C",2019-01-04,79,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"160",66874,"Peninsula Seafood Restaurant","641 Jackson St",2019-01-04,86,"Unclean or degraded floors walls or ceilings","Low Risk",3
"161",86013,"Safehouse","160 14th St",2019-01-04,90,"Moderate risk vermin infestation","Moderate Risk",NA
"162",90139,"The Spicy Shrimp","150 Waverly Pl",2019-01-04,86,"Insufficient hot water or running water","Moderate Risk",NA
"163",91279,"Green Tiffin","160 14th St",2019-01-04,94,"Permit license or inspection report not posted","Low Risk",NA
"164",68295,"Walgreens #4680","730 Market St",2019-01-04,96,"Inadequate and inaccessible handwashing facilities","Moderate Risk",3
"165",66874,"Peninsula Seafood Restaurant","641 Jackson St",2019-01-04,86,"Foods not protected from contamination","Moderate Risk",3
"166",66874,"Peninsula Seafood Restaurant","641 Jackson St",2019-01-04,86,"Moderate risk food holding temperature","Moderate Risk",3
"167",90139,"The Spicy Shrimp","150 Waverly Pl",2019-01-04,86,"Foods not protected from contamination","Moderate Risk",NA
"168",66874,"Peninsula Seafood Restaurant","641 Jackson St",2019-01-04,86,"Inadequate and inaccessible handwashing facilities","Moderate Risk",3
"169",73840,"L'acajou Bakery and Cafe","498 09th St Ste. C",2019-01-04,79,"Improper cooling methods","High Risk",NA
"170",79753,"Mazarine Coffee","720 Market St",2019-01-04,96,"Insufficient hot water or running water","Moderate Risk",NA
"171",86013,"Safehouse","160 14th St",2019-01-04,90,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"172",91279,"Green Tiffin","160 14th St",2019-01-04,94,"Food safety certificate or food handler card not available","Low Risk",NA
"173",73840,"L'acajou Bakery and Cafe","498 09th St Ste. C",2019-01-04,79,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"174",97102,"METRO HONG KONG DESSERT","928 STOCKTON St",2019-01-04,82,"Foods not protected from contamination","Moderate Risk",NA
"175",97102,"METRO HONG KONG DESSERT","928 STOCKTON St",2019-01-04,82,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"176",98824,"FRANCO'S LATIN TABLE","24 WEST PORTAL AVE",2019-01-04,96,"Unapproved or unmaintained equipment or utensils","Low Risk",NA
"177",98971,"TAYLOR LANE ORGANIC COFFEE","2001 MARKET St",2019-01-04,100,NA,NA,NA
"178",98824,"FRANCO'S LATIN TABLE","24 WEST PORTAL AVE",2019-01-04,96,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"179",97102,"METRO HONG KONG DESSERT","928 STOCKTON St",2019-01-04,82,"Moderate risk food holding temperature","Moderate Risk",NA
"180",95481,"Gong Cha","272 O'Farrell St",2019-01-04,96,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"181",97102,"METRO HONG KONG DESSERT","928 STOCKTON St",2019-01-04,82,"Unclean nonfood contact surfaces","Low Risk",NA
"182",95903,"Black Sugar","320 O'Farrell St",2019-01-04,96,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"183",97102,"METRO HONG KONG DESSERT","928 STOCKTON St",2019-01-04,82,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"184",2234,"Kam Lok Restaurant","834 Washington St",2019-01-07,72,"Moderate risk food holding temperature","Moderate Risk",3
"185",64338,"Hi Tops","2247 Market St",2019-01-07,83,"Inadequate and inaccessible handwashing facilities","Moderate Risk",NA
"186",1724,"CAFE MUMS","1800 SUTTER St",2019-01-07,86,"Unclean or degraded floors walls or ceilings","Low Risk",11
"187",2234,"Kam Lok Restaurant","834 Washington St",2019-01-07,72,"Unapproved or unmaintained equipment or utensils","Low Risk",3
"188",11610,"On Lok","225 30th St",2019-01-07,87,"Improper storage of equipment utensils or linens","Low Risk",5
"189",2684,"ERIC'S RESTAURANT","1500 Church St",2019-01-07,84,"Unclean nonfood contact surfaces","Low Risk",5
"190",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Improper storage use or identification of toxic substances","Low Risk",3
"191",10376,"Good Frikin Chicken","10 29th St",2019-01-07,85,"High risk food holding temperature","High Risk",2
"192",2684,"ERIC'S RESTAURANT","1500 Church St",2019-01-07,84,"Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",5
"193",1724,"CAFE MUMS","1800 SUTTER St",2019-01-07,86,"Foods not protected from contamination","Moderate Risk",11
"194",1931,"YUMMY YUMMY VIETNAMESE RESTAURANT","1015 IRVING St",2019-01-07,79,"Inadequate and inaccessible handwashing facilities","Moderate Risk",11
"195",2234,"Kam Lok Restaurant","834 Washington St",2019-01-07,72,"Unclean or degraded floors walls or ceilings","Low Risk",3
"196",64338,"Hi Tops","2247 Market St",2019-01-07,83,"High risk food holding temperature","High Risk",NA
"197",1724,"CAFE MUMS","1800 SUTTER St",2019-01-07,86,"Moderate risk vermin infestation","Moderate Risk",11
"198",2234,"Kam Lok Restaurant","834 Washington St",2019-01-07,72,"Unclean hands or improper use of gloves","High Risk",3
"199",11610,"On Lok","225 30th St",2019-01-07,87,"Insufficient hot water or running water","Moderate Risk",5
"200",10376,"Good Frikin Chicken","10 29th St",2019-01-07,85,"Low risk vermin infestation","Low Risk",2
"201",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Improper food storage","Low Risk",3
"202",2684,"ERIC'S RESTAURANT","1500 Church St",2019-01-07,84,"Foods not protected from contamination","Moderate Risk",5
"203",1931,"YUMMY YUMMY VIETNAMESE RESTAURANT","1015 IRVING St",2019-01-07,79,"Improper thawing methods","Moderate Risk",11
"204",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Moderate risk food holding temperature","Moderate Risk",3
"205",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",3
"206",2234,"Kam Lok Restaurant","834 Washington St",2019-01-07,72,"Unclean or unsanitary food contact surfaces","High Risk",3
"207",1931,"YUMMY YUMMY VIETNAMESE RESTAURANT","1015 IRVING St",2019-01-07,79,"Moderate risk vermin infestation","Moderate Risk",11
"208",1931,"YUMMY YUMMY VIETNAMESE RESTAURANT","1015 IRVING St",2019-01-07,79,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",11
"209",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Moderate risk vermin infestation","Moderate Risk",3
"210",2684,"ERIC'S RESTAURANT","1500 Church St",2019-01-07,84,"Improper storage of equipment utensils or linens","Low Risk",5
"211",64338,"Hi Tops","2247 Market St",2019-01-07,83,"Inadequately cleaned or sanitized food contact surfaces","Moderate Risk",NA
"212",10376,"Good Frikin Chicken","10 29th St",2019-01-07,85,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",2
"213",1724,"CAFE MUMS","1800 SUTTER St",2019-01-07,86,"Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",11
"214",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Inadequate and inaccessible handwashing facilities","Moderate Risk",3
"215",1724,"CAFE MUMS","1800 SUTTER St",2019-01-07,86,"Unapproved or unmaintained equipment or utensils","Low Risk",11
"216",2234,"Kam Lok Restaurant","834 Washington St",2019-01-07,72,"Moderate risk vermin infestation","Moderate Risk",3
"217",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Insufficient hot water or running water","Moderate Risk",3
"218",2684,"ERIC'S RESTAURANT","1500 Church St",2019-01-07,84,"Unapproved or unmaintained equipment or utensils","Low Risk",5
"219",64338,"Hi Tops","2247 Market St",2019-01-07,83,"Unclean or degraded floors walls or ceilings","Low Risk",NA
"220",1931,"YUMMY YUMMY VIETNAMESE RESTAURANT","1015 IRVING St",2019-01-07,79,"High risk food holding temperature","High Risk",11
"221",11610,"On Lok","225 30th St",2019-01-07,87,"Improper cooling methods","High Risk",5
"222",2684,"ERIC'S RESTAURANT","1500 Church St",2019-01-07,84,"Unclean or degraded floors walls or ceilings","Low Risk",5
"223",10376,"Good Frikin Chicken","10 29th St",2019-01-07,85,"Inadequate and inaccessible handwashing facilities","Moderate Risk",2
"224",34611,"Napoleon Super Bakery Corp","1049 Stockton St",2019-01-07,74,"Unclean or degraded floors walls or ceilings","Low Risk",3
