business_id	business_name	business_address	inspection_date	inspection_score	violation_description	risk_category	Current Supervisor Districts
82196	Toast Eatery	1748 Church St	2019-01-02	98	Food safety certificate or food handler card not available	Low Risk	NA
80120	Boba Guys, Inc.	429 Stockton St	2019-01-02	90	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
83423	Carbon Grill	852 Clement St	2019-01-02	82	Unclean or degraded floors walls or ceilings	Low Risk	NA
72025	J. Georgie's Donuts and Restaurant	2462 San Bruno Ave	2019-01-02	85	Unclean or degraded floors walls or ceilings	Low Risk	NA
75881	Tender Greens	30 Fremont St	2019-01-02	92	Unclean or degraded floors walls or ceilings	Low Risk	NA
86168	I Cafe Chinatown	133 Waverly Pl	2019-01-02	72	Food safety certificate or food handler card not available	Low Risk	NA
80081	Good MongKok Bakery	1039 Stockton St	2019-01-02	75	Improper food storage	Low Risk	NA
80081	Good MongKok Bakery	1039 Stockton St	2019-01-02	75	Unclean hands or improper use of gloves	High Risk	NA
72025	J. Georgie's Donuts and Restaurant	2462 San Bruno Ave	2019-01-02	85	Moderate risk vermin infestation	Moderate Risk	NA
75881	Tender Greens	30 Fremont St	2019-01-02	92	Improper thawing methods	Moderate Risk	NA
80081	Good MongKok Bakery	1039 Stockton St	2019-01-02	75	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	NA
83423	Carbon Grill	852 Clement St	2019-01-02	82	Unclean or unsanitary food contact surfaces	High Risk	NA
86168	I Cafe Chinatown	133 Waverly Pl	2019-01-02	72	Permit license or inspection report not posted	Low Risk	NA
80081	Good MongKok Bakery	1039 Stockton St	2019-01-02	75	Foods not protected from contamination	Moderate Risk	NA
72025	J. Georgie's Donuts and Restaurant	2462 San Bruno Ave	2019-01-02	85	Unclean hands or improper use of gloves	High Risk	NA
90194	Jackrabbit	Off the Grid	2019-01-02	93	High risk food holding temperature	High Risk	NA
83423	Carbon Grill	852 Clement St	2019-01-02	82	High risk vermin infestation	High Risk	NA
86168	I Cafe Chinatown	133 Waverly Pl	2019-01-02	72	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	NA
80081	Good MongKok Bakery	1039 Stockton St	2019-01-02	75	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk	NA
86168	I Cafe Chinatown	133 Waverly Pl	2019-01-02	72	Unapproved or unmaintained equipment or utensils	Low Risk	NA
86168	I Cafe Chinatown	133 Waverly Pl	2019-01-02	72	High risk vermin infestation	High Risk	NA
80120	Boba Guys, Inc.	429 Stockton St	2019-01-02	90	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	NA
80120	Boba Guys, Inc.	429 Stockton St	2019-01-02	90	Improper food storage	Low Risk	NA
86168	I Cafe Chinatown	133 Waverly Pl	2019-01-02	72	Employee eating or smoking	Moderate Risk	NA
86168	I Cafe Chinatown	133 Waverly Pl	2019-01-02	72	Unclean hands or improper use of gloves	High Risk	NA
83423	Carbon Grill	852 Clement St	2019-01-02	82	Unapproved or unmaintained equipment or utensils	Low Risk	NA
75881	Tender Greens	30 Fremont St	2019-01-02	92	Unapproved or unmaintained equipment or utensils	Low Risk	NA
80081	Good MongKok Bakery	1039 Stockton St	2019-01-02	75	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
72025	J. Georgie's Donuts and Restaurant	2462 San Bruno Ave	2019-01-02	85	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	NA
97322	IZUMI KAITEN SUSHI	1737 Post St Ste 355	2019-01-02	90	Moderate risk food holding temperature	Moderate Risk	NA
97322	IZUMI KAITEN SUSHI	1737 Post St Ste 355	2019-01-02	90	Unclean or degraded floors walls or ceilings	Low Risk	NA
97322	IZUMI KAITEN SUSHI	1737 Post St Ste 355	2019-01-02	90	Moderate risk vermin infestation	Moderate Risk	NA
2808	NEW EMMY'S RESTAURANT	1923 OCEAN Ave	2019-01-03	74	Unclean or degraded floors walls or ceilings	Low Risk	8
7997	COSTCO WHOLESALE	450 10th St	2019-01-03	92	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	10
37651	Jack In The Box #545	400 Geary St	2019-01-03	96	Improper food storage	Low Risk	3
20367	Manila Oriental Market	4175 MISSION St	2019-01-03	77	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk	1
20367	Manila Oriental Market	4175 MISSION St	2019-01-03	77	Improper food storage	Low Risk	1
941	TWO JACKS SEAFOOD #2	984 GILMAN Ave	2019-01-03	90	Unapproved or unmaintained equipment or utensils	Low Risk	9
61467	Dagwood & Scoops	2736 24 St	2019-01-03	86	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	2
409	EL FARO	82 01st St	2019-01-03	66	Unapproved or unmaintained equipment or utensils	Low Risk	10
38423	Dynamo	2760 24th St	2019-01-03	96	Moderate risk vermin infestation	Moderate Risk	2
2808	NEW EMMY'S RESTAURANT	1923 OCEAN Ave	2019-01-03	74	Unapproved or unmaintained equipment or utensils	Low Risk	8
13753	Taboun	203 Parnassus Ave	2019-01-03	94	Food safety certificate or food handler card not available	Low Risk	11
61643	Lee's Deli	615 Market St	2019-01-03	87	Unclean or degraded floors walls or ceilings	Low Risk	10
2808	NEW EMMY'S RESTAURANT	1923 OCEAN Ave	2019-01-03	74	Unclean nonfood contact surfaces	Low Risk	8
7997	COSTCO WHOLESALE	450 10th St	2019-01-03	92	Foods not protected from contamination	Moderate Risk	10
941	TWO JACKS SEAFOOD #2	984 GILMAN Ave	2019-01-03	90	Food safety certificate or food handler card not available	Low Risk	9
61467	Dagwood & Scoops	2736 24 St	2019-01-03	86	Unclean or degraded floors walls or ceilings	Low Risk	2
20367	Manila Oriental Market	4175 MISSION St	2019-01-03	77	Inadequate and inaccessible handwashing facilities	Moderate Risk	1
37651	Jack In The Box #545	400 Geary St	2019-01-03	96	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	3
409	EL FARO	82 01st St	2019-01-03	66	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk	10
409	EL FARO	82 01st St	2019-01-03	66	Inadequate ventilation or lighting	Low Risk	10
409	EL FARO	82 01st St	2019-01-03	66	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	10
61467	Dagwood & Scoops	2736 24 St	2019-01-03	86	Other moderate risk violation	Moderate Risk	2
61643	Lee's Deli	615 Market St	2019-01-03	87	High risk food holding temperature	High Risk	10
20367	Manila Oriental Market	4175 MISSION St	2019-01-03	77	Unclean or unsanitary food contact surfaces	High Risk	1
2808	NEW EMMY'S RESTAURANT	1923 OCEAN Ave	2019-01-03	74	Improper thawing methods	Moderate Risk	8
409	EL FARO	82 01st St	2019-01-03	66	High risk vermin infestation	High Risk	10
409	EL FARO	82 01st St	2019-01-03	66	Improper thawing methods	Moderate Risk	10
941	TWO JACKS SEAFOOD #2	984 GILMAN Ave	2019-01-03	90	Moderate risk food holding temperature	Moderate Risk	9
409	EL FARO	82 01st St	2019-01-03	66	Improper cooling methods	High Risk	10
2808	NEW EMMY'S RESTAURANT	1923 OCEAN Ave	2019-01-03	74	Unclean or unsanitary food contact surfaces	High Risk	8
20367	Manila Oriental Market	4175 MISSION St	2019-01-03	77	Unapproved or unmaintained equipment or utensils	Low Risk	1
61643	Lee's Deli	615 Market St	2019-01-03	87	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk	10
61467	Dagwood & Scoops	2736 24 St	2019-01-03	86	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk	2
941	TWO JACKS SEAFOOD #2	984 GILMAN Ave	2019-01-03	90	Improper food storage	Low Risk	9
13753	Taboun	203 Parnassus Ave	2019-01-03	94	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	11
20367	Manila Oriental Market	4175 MISSION St	2019-01-03	77	Moderate risk food holding temperature	Moderate Risk	1
2808	NEW EMMY'S RESTAURANT	1923 OCEAN Ave	2019-01-03	74	Improper food storage	Low Risk	8
2808	NEW EMMY'S RESTAURANT	1923 OCEAN Ave	2019-01-03	74	High risk food holding temperature	High Risk	8
409	EL FARO	82 01st St	2019-01-03	66	Foods not protected from contamination	Moderate Risk	10
93072	Subway #68745	170 O'Farrell St #428	2019-01-03	88	Food safety certificate or food handler card not available	Low Risk	NA
93072	Subway #68745	170 O'Farrell St #428	2019-01-03	88	Inadequate sewage or wastewater disposal	Moderate Risk	NA
90486	Enough Tea & Coffee	49 Kearny St	2019-01-03	94	Unclean or degraded floors walls or ceilings	Low Risk	NA
90486	Enough Tea & Coffee	49 Kearny St	2019-01-03	94	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
93072	Subway #68745	170 O'Farrell St #428	2019-01-03	88	Unclean or degraded floors walls or ceilings	Low Risk	NA
88878	Jamba Juice	170 O'Farrell St	2019-01-03	96	Permit license or inspection report not posted	Low Risk	NA
93072	Subway #68745	170 O'Farrell St #428	2019-01-03	88	Permit license or inspection report not posted	Low Risk	NA
88878	Jamba Juice	170 O'Farrell St	2019-01-03	96	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	NA
93072	Subway #68745	170 O'Farrell St #428	2019-01-03	88	Improper or defective plumbing	Low Risk	NA
97806	LITTLE SUSHI BAR	200 23rd Ave	2019-01-03	91	Unapproved or unmaintained equipment or utensils	Low Risk	NA
4843	SUNNY COUNTRY FOODS	1101 STANYAN St	2019-01-03	100	NA	NA	11
97806	LITTLE SUSHI BAR	200 23rd Ave	2019-01-03	91	Unclean or unsanitary food contact surfaces	High Risk	NA
4841	STARBUCKS COFFEE #9215	350 PARNASSUS Ave	2019-01-03	100	NA	NA	11
36208	Silver Cafe	4300 MISSION St	2019-01-04	92	Inadequate ventilation or lighting	Low Risk	1
2017	THE GROVE FILLMORE	2016 FILLMORE St	2019-01-04	84	Inadequate and inaccessible handwashing facilities	Moderate Risk	6
28843	Salt House	2 Shaw Alley	2019-01-04	88	Moderate risk food holding temperature	Moderate Risk	10
28843	Salt House	2 Shaw Alley	2019-01-04	88	Improper storage use or identification of toxic substances	Low Risk	10
2017	THE GROVE FILLMORE	2016 FILLMORE St	2019-01-04	84	Unclean or degraded floors walls or ceilings	Low Risk	6
28843	Salt House	2 Shaw Alley	2019-01-04	88	Noncompliance with shell fish tags or display	Moderate Risk	10
2017	THE GROVE FILLMORE	2016 FILLMORE St	2019-01-04	84	Moderate risk vermin infestation	Moderate Risk	6
28843	Salt House	2 Shaw Alley	2019-01-04	88	Unclean or degraded floors walls or ceilings	Low Risk	10
2017	THE GROVE FILLMORE	2016 FILLMORE St	2019-01-04	84	Improper food storage	Low Risk	6
2017	THE GROVE FILLMORE	2016 FILLMORE St	2019-01-04	84	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	6
7407	TRADER JOE'S	555 09th St	2019-01-04	96	Improper food storage	Low Risk	10
36208	Silver Cafe	4300 MISSION St	2019-01-04	92	Unapproved or unmaintained equipment or utensils	Low Risk	1
2017	THE GROVE FILLMORE	2016 FILLMORE St	2019-01-04	84	Inadequate dressing rooms or improper storage of personal items	Low Risk	6
36208	Silver Cafe	4300 MISSION St	2019-01-04	92	Employee eating or smoking	Moderate Risk	1
7407	TRADER JOE'S	555 09th St	2019-01-04	96	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	10
90139	The Spicy Shrimp	150 Waverly Pl	2019-01-04	86	Moderate risk food holding temperature	Moderate Risk	NA
86013	Safehouse	160 14th St	2019-01-04	90	Permit license or inspection report not posted	Low Risk	NA
91279	Green Tiffin	160 14th St	2019-01-04	94	Unclean or degraded floors walls or ceilings	Low Risk	NA
73840	L'acajou Bakery and Cafe	498 09th St Ste. C	2019-01-04	79	Moderate risk vermin infestation	Moderate Risk	NA
73840	L'acajou Bakery and Cafe	498 09th St Ste. C	2019-01-04	79	Unclean or degraded floors walls or ceilings	Low Risk	NA
86013	Safehouse	160 14th St	2019-01-04	90	Unclean or degraded floors walls or ceilings	Low Risk	NA
73840	L'acajou Bakery and Cafe	498 09th St Ste. C	2019-01-04	79	Food safety certificate or food handler card not available	Low Risk	NA
90139	The Spicy Shrimp	150 Waverly Pl	2019-01-04	86	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	NA
73840	L'acajou Bakery and Cafe	498 09th St Ste. C	2019-01-04	79	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
66874	Peninsula Seafood Restaurant	641 Jackson St	2019-01-04	86	Unclean or degraded floors walls or ceilings	Low Risk	3
86013	Safehouse	160 14th St	2019-01-04	90	Moderate risk vermin infestation	Moderate Risk	NA
90139	The Spicy Shrimp	150 Waverly Pl	2019-01-04	86	Insufficient hot water or running water	Moderate Risk	NA
91279	Green Tiffin	160 14th St	2019-01-04	94	Permit license or inspection report not posted	Low Risk	NA
68295	Walgreens #4680	730 Market St	2019-01-04	96	Inadequate and inaccessible handwashing facilities	Moderate Risk	3
66874	Peninsula Seafood Restaurant	641 Jackson St	2019-01-04	86	Foods not protected from contamination	Moderate Risk	3
66874	Peninsula Seafood Restaurant	641 Jackson St	2019-01-04	86	Moderate risk food holding temperature	Moderate Risk	3
90139	The Spicy Shrimp	150 Waverly Pl	2019-01-04	86	Foods not protected from contamination	Moderate Risk	NA
66874	Peninsula Seafood Restaurant	641 Jackson St	2019-01-04	86	Inadequate and inaccessible handwashing facilities	Moderate Risk	3
73840	L'acajou Bakery and Cafe	498 09th St Ste. C	2019-01-04	79	Improper cooling methods	High Risk	NA
79753	Mazarine Coffee	720 Market St	2019-01-04	96	Insufficient hot water or running water	Moderate Risk	NA
86013	Safehouse	160 14th St	2019-01-04	90	Unapproved or unmaintained equipment or utensils	Low Risk	NA
91279	Green Tiffin	160 14th St	2019-01-04	94	Food safety certificate or food handler card not available	Low Risk	NA
73840	L'acajou Bakery and Cafe	498 09th St Ste. C	2019-01-04	79	Unapproved or unmaintained equipment or utensils	Low Risk	NA
97102	METRO HONG KONG DESSERT	928 STOCKTON St	2019-01-04	82	Foods not protected from contamination	Moderate Risk	NA
97102	METRO HONG KONG DESSERT	928 STOCKTON St	2019-01-04	82	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	NA
98824	FRANCO'S LATIN TABLE	24 WEST PORTAL AVE	2019-01-04	96	Unapproved or unmaintained equipment or utensils	Low Risk	NA
98971	TAYLOR LANE ORGANIC COFFEE	2001 MARKET St	2019-01-04	100	NA	NA	NA
98824	FRANCO'S LATIN TABLE	24 WEST PORTAL AVE	2019-01-04	96	Unclean or degraded floors walls or ceilings	Low Risk	NA
97102	METRO HONG KONG DESSERT	928 STOCKTON St	2019-01-04	82	Moderate risk food holding temperature	Moderate Risk	NA
95481	Gong Cha	272 O'Farrell St	2019-01-04	96	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	NA
97102	METRO HONG KONG DESSERT	928 STOCKTON St	2019-01-04	82	Unclean nonfood contact surfaces	Low Risk	NA
95903	Black Sugar	320 O'Farrell St	2019-01-04	96	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	NA
97102	METRO HONG KONG DESSERT	928 STOCKTON St	2019-01-04	82	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
2234	Kam Lok Restaurant	834 Washington St	2019-01-07	72	Moderate risk food holding temperature	Moderate Risk	3
64338	Hi Tops	2247 Market St	2019-01-07	83	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
1724	CAFE MUMS	1800 SUTTER St	2019-01-07	86	Unclean or degraded floors walls or ceilings	Low Risk	11
2234	Kam Lok Restaurant	834 Washington St	2019-01-07	72	Unapproved or unmaintained equipment or utensils	Low Risk	3
11610	On Lok	225 30th St	2019-01-07	87	Improper storage of equipment utensils or linens	Low Risk	5
2684	ERIC'S RESTAURANT	1500 Church St	2019-01-07	84	Unclean nonfood contact surfaces	Low Risk	5
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Improper storage use or identification of toxic substances	Low Risk	3
10376	Good Frikin Chicken	10 29th St	2019-01-07	85	High risk food holding temperature	High Risk	2
2684	ERIC'S RESTAURANT	1500 Church St	2019-01-07	84	Inadequate food safety knowledge or lack of certified food safety manager	Moderate Risk	5
1724	CAFE MUMS	1800 SUTTER St	2019-01-07	86	Foods not protected from contamination	Moderate Risk	11
1931	YUMMY YUMMY VIETNAMESE RESTAURANT	1015 IRVING St	2019-01-07	79	Inadequate and inaccessible handwashing facilities	Moderate Risk	11
2234	Kam Lok Restaurant	834 Washington St	2019-01-07	72	Unclean or degraded floors walls or ceilings	Low Risk	3
64338	Hi Tops	2247 Market St	2019-01-07	83	High risk food holding temperature	High Risk	NA
1724	CAFE MUMS	1800 SUTTER St	2019-01-07	86	Moderate risk vermin infestation	Moderate Risk	11
2234	Kam Lok Restaurant	834 Washington St	2019-01-07	72	Unclean hands or improper use of gloves	High Risk	3
11610	On Lok	225 30th St	2019-01-07	87	Insufficient hot water or running water	Moderate Risk	5
10376	Good Frikin Chicken	10 29th St	2019-01-07	85	Low risk vermin infestation	Low Risk	2
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Improper food storage	Low Risk	3
2684	ERIC'S RESTAURANT	1500 Church St	2019-01-07	84	Foods not protected from contamination	Moderate Risk	5
1931	YUMMY YUMMY VIETNAMESE RESTAURANT	1015 IRVING St	2019-01-07	79	Improper thawing methods	Moderate Risk	11
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Moderate risk food holding temperature	Moderate Risk	3
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	3
2234	Kam Lok Restaurant	834 Washington St	2019-01-07	72	Unclean or unsanitary food contact surfaces	High Risk	3
1931	YUMMY YUMMY VIETNAMESE RESTAURANT	1015 IRVING St	2019-01-07	79	Moderate risk vermin infestation	Moderate Risk	11
1931	YUMMY YUMMY VIETNAMESE RESTAURANT	1015 IRVING St	2019-01-07	79	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	11
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Moderate risk vermin infestation	Moderate Risk	3
2684	ERIC'S RESTAURANT	1500 Church St	2019-01-07	84	Improper storage of equipment utensils or linens	Low Risk	5
64338	Hi Tops	2247 Market St	2019-01-07	83	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk	NA
10376	Good Frikin Chicken	10 29th St	2019-01-07	85	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	2
1724	CAFE MUMS	1800 SUTTER St	2019-01-07	86	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk	11
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Inadequate and inaccessible handwashing facilities	Moderate Risk	3
1724	CAFE MUMS	1800 SUTTER St	2019-01-07	86	Unapproved or unmaintained equipment or utensils	Low Risk	11
2234	Kam Lok Restaurant	834 Washington St	2019-01-07	72	Moderate risk vermin infestation	Moderate Risk	3
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Insufficient hot water or running water	Moderate Risk	3
2684	ERIC'S RESTAURANT	1500 Church St	2019-01-07	84	Unapproved or unmaintained equipment or utensils	Low Risk	5
64338	Hi Tops	2247 Market St	2019-01-07	83	Unclean or degraded floors walls or ceilings	Low Risk	NA
1931	YUMMY YUMMY VIETNAMESE RESTAURANT	1015 IRVING St	2019-01-07	79	High risk food holding temperature	High Risk	11
11610	On Lok	225 30th St	2019-01-07	87	Improper cooling methods	High Risk	5
2684	ERIC'S RESTAURANT	1500 Church St	2019-01-07	84	Unclean or degraded floors walls or ceilings	Low Risk	5
10376	Good Frikin Chicken	10 29th St	2019-01-07	85	Inadequate and inaccessible handwashing facilities	Moderate Risk	2
34611	Napoleon Super Bakery Corp	1049 Stockton St	2019-01-07	74	Unclean or degraded floors walls or ceilings	Low Risk	3
2234	Kam Lok Restaurant	834 Washington St	2019-01-07	72	Improper food storage	Low Risk	3
69520	Inay - Metreon SF	135 04th St FC-10	2019-01-07	87	Unclean or degraded floors walls or ceilings	Low Risk	10
92477	Stop & Save Market	784 O'Farrell St	2019-01-07	94	Improper food storage	Low Risk	NA
89070	Lafayette Coffee Shop	611 Larkin St	2019-01-07	62	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
91934	Keep It, Inc.	1170 Powell St	2019-01-07	80	Unapproved or unmaintained equipment or utensils	Low Risk	NA
89070	Lafayette Coffee Shop	611 Larkin St	2019-01-07	62	Improper food storage	Low Risk	NA
85781	Domino's #7764	876 Geary St	2019-01-07	81	Moderate risk food holding temperature	Moderate Risk	NA
89070	Lafayette Coffee Shop	611 Larkin St	2019-01-07	62	High risk vermin infestation	High Risk	NA
91934	Keep It, Inc.	1170 Powell St	2019-01-07	80	Moderate risk food holding temperature	Moderate Risk	NA
80416	Mugizo	1581 Webster St 217	2019-01-07	81	High risk food holding temperature	High Risk	NA
87050	Fasty Fresh Inc/Firepie	3498 Cesar Chavez St	2019-01-07	88	Inadequate dressing rooms or improper storage of personal items	Low Risk	NA
69520	Inay - Metreon SF	135 04th St FC-10	2019-01-07	87	Improper cooling methods	High Risk	10
92477	Stop & Save Market	784 O'Farrell St	2019-01-07	94	Inadequate and inaccessible handwashing facilities	Moderate Risk	NA
91934	Keep It, Inc.	1170 Powell St	2019-01-07	80	Unclean or degraded floors walls or ceilings	Low Risk	NA
89070	Lafayette Coffee Shop	611 Larkin St	2019-01-07	62	Unclean or degraded floors walls or ceilings	Low Risk	NA
89070	Lafayette Coffee Shop	611 Larkin St	2019-01-07	62	Moderate risk food holding temperature	Moderate Risk	NA
65852	Al's Super Cafe	3286 MISSION St	2019-01-07	94	Food safety certificate or food handler card not available	Low Risk	2
87050	Fasty Fresh Inc/Firepie	3498 Cesar Chavez St	2019-01-07	88	Unclean or degraded floors walls or ceilings	Low Risk	NA
80416	Mugizo	1581 Webster St 217	2019-01-07	81	Food safety certificate or food handler card not available	Low Risk	NA
89070	Lafayette Coffee Shop	611 Larkin St	2019-01-07	62	Contaminated or adulterated food	High Risk	NA
