UniqueID	Location Id	Business Account Number	Ownership Name	DBA Name	Street Address	City	State	Source Zipcode	Business Start Date	Business End Date	Location Start Date	Location End Date	Administratively Closed	Mail Address	Mail City	Mail Zipcode	Mail State	NAICS Code	NAICS Code Description	NAICS Code Descriptions List	Parking Tax	Transient Occupancy Tax	LIC Code	LIC Code Description	LIC Code Descriptions List	Supervisor District	Neighborhoods - Analysis Boundaries	Business Corridor	Business Location	data_as_of	data_loaded_at
1298467-02-221-1087789	1298467-02-221	1087789	3 Bottled Fish	Stonestown Farmers Market	3251 20th Ave	San Francisco	CA	94102	05/17/2018		01/01/2022			174 Coleridge Grn	Fremont	94538	CA	7220-7229	Food Services	Food Services	false	false				7	Lakeshore		POINT (-122.476997004 37.727921008)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1240536-12-191-1109476	1240536-12-191	1109476	Christina Rose Benevento	Postmates	1739 Cabrillo St Apt 2	San Francisco	CA	94121	11/23/2019	04/07/2021	11/23/2019	04/07/2021						7220-7229	Food Services	Food Services	false	false				1	Outer Richmond		POINT (-122.477526 37.774503)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1076285-06-161-1037052	1076285-06-161	1037052	Bei Bay Bing	Bay Bay Bing	100 Miraloma Drive	San Francisco	CA	94127	06/13/2016	07/29/2016	06/13/2016	07/29/2016						7220-7229	Food Services	Food Services	false	false				7	West of Twin Peaks		POINT (-122.461776 37.738368)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1278344-05-211-1074646	1278344-05-211	1074646	Obour Foods, LLC	Obour Foods, LLC	733 Greenwich St	San Francisco	CA	94133	08/11/2017		05/24/2021	07/27/2021		1566 Carroll Ave	San Francisco	94124	CA	7220-7229	Food Services	Food Services	false	false				3	North Beach	North Beach	POINT (-122.411862 37.801755)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1142716-04-171-1067160	1142716-04-171	1067160	Sanyou Investment Partners	Mandarin House SF	3452 Mission St	San Francisco	CA	94110	03/02/2017		04/01/2017			567 Pine St Ste 201	San Francisco	94108	CA	7220-7229	Food Services	Food Services	false	false	H25	RESTAURANT 1,000 - 2,000 SQFT	RESTAURANT 1,000 - 2,000 SQFT	9	Bernal Heights	Mission Street	POINT (-122.422815 37.741536)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1162810-10-171-1076462	1162810-10-171	1076462	Dennis A Odonnell	Confection Connection	48 Parsons St	San Francisco	CA	94118	09/01/2017	01/01/2018	10/02/2017	01/01/2018						7220-7229	Food Services	Food Services	false	false				1	Lone Mountain/USF		POINT (-122.4551655 37.774935)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1169797-12-171-1080314	1169797-12-171	1080314	Mitchell Horowitz	Chocolates By Mitchell	3881 21st St	San Francisco	CA	94114	12/01/2017		12/01/2017			3881 21st St	San Francisco	94114	CA	7220-7229	Food Services	Food Services	false	false				8	Noe Valley		POINT (-122.4339885 37.755882)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1276196-04-211-1108806	1276196-04-211	1108806	2049 Fillmore Street	The Tailor's Son	2049 Fillmore St	San Francisco	CA	94115	11/19/2019		11/19/2019			2020 Union St	San Francisco	94123	CA	7220-7229	Food Services	Food Services	false	false	D04 H26	Multiple	PLACES OF PUBLIC ASSEMBLY & OPEN-AIR ASSEMBLY; RESTAURANT - OVER 2,000 SQFT	2	Pacific Heights		POINT (-122.4340425 37.788588)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1238023-11-191-1108353	1238023-11-191	1108353	Al&P LLC	Bambu	6050 Geary Blvd Ste 101	San Francisco	CA	94121	11/06/2019		11/06/2019			6050 Geary Blvd 101 Ste	San Francisco	94121	CA	7220-7229	Food Services	Food Services	false	false	H24	RESTAURANT - UNDER 1,000 SQFT	RESTAURANT - UNDER 1,000 SQFT	1	Outer Richmond		POINT (-122.484223071 37.780217477)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1238904-11-191-1108741	1238904-11-191	1108741	Merey LLC	Pushkin	380 Bush St	San Francisco	CA	94104	06/08/2016	06/08/2016	02/01/2017	06/08/2016						7220-7229	Food Services	Food Services	false	false				3	Financial District/South Beach		POINT (-122.403861 37.790991)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1216741-03-191-1099897	1216741-03-191	1099897	Victor J Villamonte Vanegas	Mangolote	41 Thomas Ave 9	Brisbane	CA	94005	03/22/2019	06/29/2022	03/22/2019	03/25/2021						7220-7229	Food Services	Food Services	false	false							POINT (-122.397274963 37.681005987)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1159092-08-171-1075218	1159092-08-171	1075218	Sirimongkol Vegetarian Inc	Thai Idea Vegetarian	710 Polk St	San Francisco	CA	94109	08/24/2017	04/29/2024	08/24/2017	04/29/2024						7220-7229	Food Services	Food Services	false	false	H24	RESTAURANT - UNDER 1,000 SQFT	RESTAURANT - UNDER 1,000 SQFT	5	Tenderloin	Lower Polk	POINT (-122.4190305 37.783395)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1208475-12-181-1096308	1208475-12-181	1096308	Sf Dessert Corner LLC	Bambu	6050 Geary Blvd	San Francisco	CA	94121	12/10/2018	09/30/2019	12/10/2018	08/06/2019						7220-7229	Food Services	Food Services	false	false				1	Outer Richmond		POINT (-122.484223071 37.780217477)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1164801-10-171-1077832	1164801-10-171	1077832	Boos Voni LLC	Boos Voni	5170 Mission St	San Francisco	CA	94112	03/01/2017		03/01/2017			5170 Mission St	San Francisco	94112	CA	7220-7229	Food Services	Food Services	false	false	H24	RESTAURANT - UNDER 1,000 SQFT	RESTAURANT - UNDER 1,000 SQFT	11	Outer Mission		POINT (-122.44167 37.716129)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1216457-03-191-1099777	1216457-03-191	1099777	Superfood Holdings LLC Dba Project Juice LLC	Project Juice - Valencia	790 Valencia St	San Francisco	CA	94110	03/11/2019	03/15/2019	03/11/2019	03/15/2019						7220-7229	Food Services	Food Services	false	false				9	Mission		POINT (-122.4216315 37.760283)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1131580-01-171-1063156	1131580-01-171	1063156	Bear Trap, Lssf, Inc.	Lone Star Saloon	1354 Harrison St	San Francisco	CA	94103	01/02/2017		01/02/2017			2311 Casa Bona Ave	Belmont	94002	CA	7220-7229	Food Services	Food Services	false	false	H87 P12 P23	Multiple	BARS/TAVERNS W/FOOD PREP; BILLIARD PARLOR; PLACES OF ENTERTAINMENT	6	South of Market		POINT (-122.4109395 37.772208)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1184604-04-181-1086139	1184604-04-181	1086139	Out The Dough, LLC	Out The Dough, LLC	28 Trinity Pl	San Francisco	CA	94102	10/11/2018	02/29/2020	10/11/2018	02/28/2020						7220-7229	Food Services	Food Services	false	false				3	Financial District/South Beach		POINT (-122.402474743 37.790251613)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1227134-07-191-1103515	1227134-07-191	1103515	Vessel Ca Operations LLC	Fork & Ladle	1740 Cesar Chavez Street Unit 2w	San Francisco	CA	94124	06/26/2019	07/19/2022	07/03/2019	07/19/2022						7220-7229	Food Services	Food Services	false	false				10	Bayview Hunters Point		POINT (-122.394087 37.750239)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1087162-08-161-1041439	1087162-08-161	1041439	Rusted Mule LLC	Rusted Mule	1217 Sutter St	San Francisco	CA	94109	08/08/2016	06/29/2022	08/08/2016	06/29/2022	***Administratively Closed					7220-7229	Food Services	Food Services	false	false				3	Nob Hill		POINT (-122.4204795 37.787445)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1256902-07-201-1023690	1256902-07-201	1023690	Seaglass Management Company LLC	Bowes Center Cafe	200 Van Ness Ave	San Francisco	CA	94102	01/22/2016		07/30/2020			17 Pier 17 The Embarcadero 200 Ste	San Francisco	94111	CA	7220-7229	Food Services	Food Services	false	false	D04 H28	Multiple	PLACES OF PUBLIC ASSEMBLY & OPEN-AIR ASSEMBLY; TAKE-OUT ESTABLISHMENT	6	Tenderloin		POINT (-122.4194895 37.777518)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1200883-09-181-1092824	1200883-09-181	1092824	Marley's Streats	Marley's Streats	24778 Eden Ave	Hayward	CA	94545	09/19/2018		09/19/2018			838 B St	Hayward	94541	CA	7220-7229	Food Services	Food Services	false	false							POINT (-122.11515301 37.642800979)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1216096-03-191-1081148	1216096-03-191	1081148	Aramark Refreshment Services, LLC	Aramark Rfs At Salesforce	50 Fremont St Fl 5/6	Fremont	CA	94105	12/27/2017	06/08/2021	03/14/2019	06/08/2021						7220-7229	Food Services	Food Services	false	false				6	Financial District/South Beach		POINT (-122.3973765 37.790307)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1281164-07-211-1103980	1281164-07-211	1103980	Porkie LLC	De La Calle	601 Mission Bay N Blvd	San Francisco	CA	94158	07/08/2019		07/01/2021			4652 Benton St	Antioch	94531	CA	7220-7229	Food Services	Food Services	false	false				6	Mission Bay		POINT (-122.388589 37.771594)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1178603-02-181-1070007	1178603-02-181	1070007	San Francisco Brewing Co. LLC	San Francisco Brewing Co - Restaurant	851 Beach St	San Francisco	CA	94109	05/09/2017		02/08/2018	08/21/2018		464 11th Ave	San Francisco	94118	CA	7220-7229	Food Services	Food Services	false	false				2	Russian Hill		POINT (-122.422608 37.806237)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1361790-05-241-1158685	1361790-05-241	1158685	Sd Levys Stadium, LLC	Sd Levys Stadium LLC	2020 Union Steet	San Francisco	CA	94123	07/11/2019		07/11/2019			2020 Union Steet	San Francisco	94123	CA	7220-7229	Food Services	Food Services	false	false				2	Marina		POINT (-122.432622753 37.797489794)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1231714-08-191-1105749	1231714-08-191	1105749	Sapporo Ramen Izakaya	Sapporo Ramen Izakaya	420 Judah St	San Francisco	CA	94122	08/01/2019	08/01/2019	08/01/2019	08/01/2019						7220-7229	Food Services	Food Services	false	false				7	Inner Sunset		POINT (-122.4665865 37.76238)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1216076-03-191-1081148	1216076-03-191	1081148	Aramark Refreshment Services, LLC	Aramark Rfs	350 Mission St Fl 26/27	SF	CA	94105	12/27/2017	06/08/2021	03/14/2019	06/08/2021						7220-7229	Food Services	Food Services	false	false				6	Financial District/South Beach		POINT (-122.396697 37.790892)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1201070-09-181-1092952	1201070-09-181	1092952	Zhm Company	Cafe New Honolulu	888 Stockton St	San Francisco	CA	94108	09/20/2018		09/20/2018			739 Washington St 300	San Francisco	94018	CA	7220-7229	Food Services	Food Services	false	false				3	Chinatown	Chinatown	POINT (-122.4077445 37.793889)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1186124-04-181-1086820	1186124-04-181	1086820	601 Grant Avenue Ventures LLC	601 Dupont	601 Grant Ave	San Francisco	CA	94108	04/25/2018		04/25/2018	10/17/2022		739 Washington St Ste 300	San Francisco	94108	CA	7220-7229	Food Services	Food Services	false	false				3	Chinatown	Chinatown	POINT (-122.406201 37.79262)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1201884-10-181-1093331	1201884-10-181	1093331	Karla Garcia	Bri's Creations	2782 24th St	San Francisco	CA	94110	10/01/2018		10/01/2018	10/01/2018		2782 24th St	San Francisco	94110	CA	7220-7229	Food Services	Food Services	false	false				9	Mission	Lower 24th Street	POINT (-122.4079065 37.75311)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1216716-03-191-1099885	1216716-03-191	1099885	212nycsf LLC	Cook Shoppe	215 Church St	San Francisco	CA	94114	12/15/2018		03/22/2019			0000 Undeliverable Mail	San Francisco	99999	CA	7220-7229	Food Services	Food Services	false	false	D04	PLACES OF PUBLIC ASSEMBLY & OPEN-AIR ASSEMBLY	PLACES OF PUBLIC ASSEMBLY & OPEN-AIR ASSEMBLY	8	Castro/Upper Market		POINT (-122.428575 37.767195)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1166551-11-171-1078686	1166551-11-171	1078686	Attaurrehman Hameed	Naan-N-Curry	4238 18th St	San Frnacisco	CA	94114	10/01/2017	10/01/2017	10/01/2017	10/01/2017						7220-7229	Food Services	Food Services	false	false				8	Castro/Upper Market	Market/Castro	POINT (-122.43681 37.760976)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1209052-01-191-1096564	1209052-01-191	1096564	Urban Express Kitchens LLC	Urban Express Kitchens LLC	475 Sixth St	San Francisco	CA	94103	01/07/2019	03/20/2020	01/07/2019	03/20/2020						7220-7229	Food Services	Food Services	false	false				6	South of Market		POINT (-122.4026145 37.776582)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1309619-07-221-1110111	1309619-07-221	1110111	Mozzeria San Francisco LLC	Mozzeria (Food Truck Mobile)	428 11th St	San Francisco	CA	94103	01/01/2020		07/12/2022	12/31/2022		2028 E Ben White Blvd Ste 240-5250	Austin	78741	TX	7220-7229	Food Services	Food Services	false	false				6	Mission		POINT (-122.4119115 37.769778)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1241307-12-191-1100999	1241307-12-191	1100999	Hahdough LLC	Hahdough	509 Laguna St	San Francisco	CA	94102	04/22/2019		12/28/2019			509 Laguna St	San Francisco	94102	CA	7220-7229	Food Services	Food Services	false	false	H88	RETAIL BAKERIES WITH FOOD PREP	RETAIL BAKERIES WITH FOOD PREP	5	Hayes Valley		POINT (-122.426325 37.775862)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1158846-08-171-1074772	1158846-08-171	1074772	Lahrul Hayden	Your Community S&P	636 Fell St	San Francisco	CA	94102	08/15/2017	07/24/2018	08/15/2017	07/24/2018						7220-7229	Food Services	Food Services	false	false				5	Hayes Valley		POINT (-122.4285345 37.775367)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1145126-05-171-1069658	1145126-05-171	1069658	Soares Derrik	Pop Ups Unlimited	1214 Polk St #315	San Francisco	CA	94109	05/02/2017		05/02/2017			5817 Sacramento Ave	Richmond	94804	CA	7220-7229	Food Services	Food Services	false	false				3	Nob Hill	Lower Polk	POINT (-122.4198765 37.788057)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1312274-08-221-1101037	1312274-08-221	1101037	Mishka, Inc.	Mishka	2124 Union	San Francisco	CA	94124	04/19/2019		08/01/2022			1011 Erica Rd Apt	Mill Valley	94941	CA	7220-7229	Food Services	Food Services	false	false				2	Marina	Union Street	POINT (-122.434404028 37.797479992)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1062844-04-161-1030818	1062844-04-161	1030818	Vasquez Samuel	Sammy's420paletas	1863 21st Ave Ste B	San Francisco	CA	94122	04/20/2016	04/20/2016	04/20/2016	04/20/2016						7220-7229	Food Services	Food Services	false	false				4	Sunset/Parkside		POINT (-122.478876 37.752993)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1131672-01-171-1063206	1131672-01-171	1063206	Perfusion Vineyard	Perfusion Vineyard	2455 3rd St	San Francisco	CA	94107	01/01/2017		01/01/2017	07/01/2022		6102 Park Ave	Richmond	94805	CA	7220-7229	Food Services	Food Services	false	false				10	Potrero Hill		POINT (-122.387931 37.759248)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1317280-10-221-1097691	1317280-10-221	1097691	Ppqdi Inc	Ppq Dungeness Island	5821 Geary Blvd	San Francisco	CA	94121	01/31/2019		10/28/2022			5821 Geary Blvd	San Francisco	94121	CA	7220-7229	Food Services	Food Services	false	false	H26	RESTAURANT - OVER 2,000 SQFT	RESTAURANT - OVER 2,000 SQFT	1	Outer Richmond	Geary Boulevard	POINT (-122.4819495 37.779912)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1060012-03-161-1029444	1060012-03-161	1029444	Yin Du Wonton Noodle LLC	Yin Du Wonton Noodle LLC	648 Pacific St	San Francisco	CA	94133	03/01/2016	10/31/2018	03/01/2016	02/16/2018						7220-7229	Food Services	Food Services	false	false				3	Chinatown		POINT (-122.406205892 37.797014701)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1250203-04-201-1113524	1250203-04-201	1113524	Eureka Tortilla LLC	Eureka Tortilla LLC	722 19th Ave	San Francisco	CA	94121	04/29/2019		04/29/2019			722 19th Ave	San Francisco	94121	CA	7220-7229	Food Services	Food Services	false	false				1	Outer Richmond		POINT (-122.4775485 37.774269)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1186091-04-181-1086803	1186091-04-181	1086803	Haight & Fillmore Trading Company Inc.	Nickies Irish Pub	466 Haight	San Francisco	CA	94117	04/25/2017	01/28/2020	04/24/2018	01/28/2020						7220-7229	Food Services	Food Services	false	false				5	Hayes Valley		POINT (-122.429880313 37.772211288)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1154682-07-171-1073476	1154682-07-171	1073476	Tiona Hearns	Tiona Hearns	2216 Colfax Way	Antioch	CA	94509	07/02/2017	06/30/2021	07/02/2017	07/24/2017						7220-7229	Food Services	Food Services	false	false							POINT (-121.833838989 37.984181982)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1142395-04-171-1061862	1142395-04-171	1061862	Tesfai Solomon	Planet Cafe	242 244 Gough St	San Francisco	CA	94102	12/01/2016		04/07/2017			17 Moffitt St	San Francisco	94131	CA	7220-7229	Food Services	Food Services	false	false	H24	RESTAURANT - UNDER 1,000 SQFT	RESTAURANT - UNDER 1,000 SQFT	5	Hayes Valley		POINT (-122.42259 37.775718)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1240872-12-191-1058326	1240872-12-191	1058326	Food Ching Inc	Iku Sushi	5 Embarcadero Ct	San Francisco	CA	94111	09/26/2016	12/31/2023	12/19/2019	12/31/2023						7220-7229	Food Services	Food Services	false	false	H25	RESTAURANT 1,000 - 2,000 SQFT	RESTAURANT 1,000 - 2,000 SQFT	3	Financial District/South Beach		POINT (-122.392630748 37.793775192)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1121316-09-161-1058380	1121316-09-161	1058380	Sunshaw Inc	The Pub	389 Riesling Ct	Fremont	CA	94539	09/27/2016	12/31/2020	09/27/2016	12/31/2020						7220-7229	Food Services	Food Services	false	false							POINT (-121.911728998 37.465125)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1239699-12-191-1063371	1239699-12-191	1063371	Goldie's Oakwood Bbq	Goldie's Oakwood Bbq	103 Horn Ave	San Francisco	CA	94124	01/05/2017	06/03/2020	12/02/2019	06/03/2020						7220-7229	Food Services	Food Services	false	false				10	Bayview Hunters Point		POINT (-122.364784349 37.727443008)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1137872-02-171-1066246	1137872-02-171	1066246	Gambinos Deli Inc	Gambinos Deli Inc	1 Embarcadero Ctr	San Francisco	CA	94111	02/27/2017		02/27/2017			1 Embarcadero Ctr	San Francisco	94111	CA	7220-7229	Food Services	Food Services	false	false	H24	RESTAURANT - UNDER 1,000 SQFT	RESTAURANT - UNDER 1,000 SQFT	6	Financial District/South Beach		POINT (-122.38840628 37.781864829)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1134974-02-171-1064872	1134974-02-171	1064872	Brown Sugar Factory Inc	Brown Sugar Factory	525 Valencia St	San Francisco	CA	94110	02/01/2017		02/01/2017	09/01/2022		530 Valencia St	San Francisco	94110	CA	7220-7229	Food Services	Food Services	false	false	H25	RESTAURANT 1,000 - 2,000 SQFT	RESTAURANT 1,000 - 2,000 SQFT	9	Mission		POINT (-122.421591 37.76445)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1193668-06-181-1084766	1193668-06-181	1084766	Maria Marquez	95313 C & C Concessions/Main Vending Commissary Room	24 Willie Mays Pl Lower Center Field Sec 144	San Francisco	CA	94107	03/09/2018		03/16/2018			5623 Cleon Ave	North Hollywood	91601	CA	7220-7229	Food Services	Food Services	false	false	H36	STADIUM CONCESSIONS	STADIUM CONCESSIONS	6	Mission Bay		POINT (-122.389496 37.778454)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1163578-10-171-1077260	1163578-10-171	1077260	Rangoon Ruby Van Ness, Lp	Rangoon Ruby Burmese Cuisine	590 Van Ness Ave	San Francisco	CA	94102	10/11/2017	05/11/2018	10/11/2017	05/11/2018						7220-7229	Food Services	Food Services	false	false				5	Tenderloin		POINT (-122.4201735 37.780938)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1137812-02-171-1066219	1137812-02-171	1066219	West Journey International LLC	Jiangnan Cuisine	3420 Balboa St	San Francisco	CA	94121	02/27/2017	10/01/2021	02/27/2017	10/01/2021						7220-7229	Food Services	Food Services	false	false				1	Outer Richmond		POINT (-122.4956115 37.776042)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1179670-02-181-1083882	1179670-02-181	1083882	Z Coffee & Tea LLC	Z Coffee & Tea LLC	435 Brannan Street	San Francisco	CA	94107	02/20/2018	02/27/2018	02/20/2018	02/27/2018						7220-7229	Food Services	Food Services	false	false				6	South of Market		POINT (-122.394789 37.779021)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1136585-02-171-1065679	1136585-02-171	1065679	Sf Nice LLC	Taqueria Zorro	308 Columbus Ave	San Francisco	CA	94133	02/17/2017	07/27/2023	02/17/2017	07/27/2023						7220-7229	Food Services	Food Services	false	false	H25	RESTAURANT 1,000 - 2,000 SQFT	RESTAURANT 1,000 - 2,000 SQFT	3	North Beach	North Beach	POINT (-122.4067725 37.798209)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1149862-06-171-1071648	1149862-06-171	1071648	Amanda Nguyen	Butter&	1069 Texas St	San Francisco	CA	94107	06/01/2017	01/31/2019	06/01/2017	01/31/2019						7220-7229	Food Services	Food Services	false	false				10	Potrero Hill		POINT (-122.3944515 37.752912)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1219438-04-191-1101030	1219438-04-191	1101030	1100 Group, LLC	The Star By Little Star Pizza	475 Sixth St	San Francisco	CA	94103	04/22/2019	04/22/2019	04/22/2019	04/22/2019						7220-7229	Food Services	Food Services	false	false				6	South of Market		POINT (-122.4026145 37.776582)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
1059300-03-161-1029111	1059300-03-161	1029111	Vasudeva Vimi	Mimitreats	1266 Chestnut St Apt 1	San Francisco	CA	94109	03/01/2016	01/01/2017	03/01/2016	01/01/2017						7220-7229	Food Services	Food Services	false	false				2	Russian Hill		POINT (-122.424075 37.802655)	2025/03/10 12:00:00 AM	2025/03/10 04:12:00 AM
